YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
1/1/2010,1:00,99,-99,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.5,3,0.061,1,0.061,1,0.3,51,0.17,0
1/1/2010,2:00,99,-99,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.6,51,0.061,1,0.061,1,0.3,51,0.17,0
1/1/2010,3:00,99,-99,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.6,51,0.061,1,0.061,1,0.301,51,0.17,0
1/1/2010,4:00,99,-99,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.6,3,0.061,1,0.061,1,0.301,51,0.17,0
1/1/2010,5:00,99,-99,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.7,51,0.061,1,0.061,1,0.302,51,0.17,0
1/1/2010,6:00,99,-99,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.8,51,0.061,1,0.061,1,0.303,51,0.17,0
1/1/2010,7:00,99,-99,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.9,3,0.061,1,0.061,1,0.303,51,0.17,0
1/1/2010,8:00,88.7,118.6,9,389,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,1,24,0,27,1,24,3,10,70,16,1,10,-9900,99,-9900,99,-9900,99,1.7,51,0.061,1,0.038,1,0.304,51,0.17,0
1/1/2010,9:00,82.2,124.2,193,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,35,24,0,27,35,24,98,10,535,16,25,10,-9900,99,-9900,99,-9900,99,1.6,51,0.061,1,0.038,1,0.304,51,0.17,0
1/1/2010,10:00,72.5,134.3,424,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,88,24,0,27,88,24,272,10,776,16,39,10,-9900,99,-9900,99,-9900,99,1.4,3,0.061,1,0.038,1,0.305,51,0.17,0
1/1/2010,11:00,64.6,146.4,607,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,132,24,0,27,132,24,427,10,878,16,50,10,-9900,99,-9900,99,-9900,99,1.2,51,0.061,1,0.038,1,0.306,51,0.17,0
1/1/2010,12:00,59,160.7,729,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,438,24,614,27,121,24,536,10,928,16,58,10,-9900,99,-9900,99,-9900,99,1.1,51,0.061,1,0.038,1,0.306,51,0.17,0
1/1/2010,13:00,56.5,176.7,780,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,585,24,950,27,61,24,585,10,950,16,61,10,-9900,99,-9900,99,-9900,99,0.9,3,0.061,1,0.038,1,0.307,51,0.17,0
1/1/2010,14:00,57.6,193.1,758,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,568,24,948,27,60,24,568,10,948,16,60,10,-9900,99,-9900,99,-9900,99,0.8,51,0.061,1,0.038,1,0.307,51,0.17,0
1/1/2010,15:00,62,208.2,664,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,486,24,921,27,54,24,486,10,921,16,54,10,-9900,99,-9900,99,-9900,99,0.6,51,0.061,1,0.038,1,0.308,51,0.17,0
1/1/2010,16:00,69.1,221.2,504,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,348,24,854,27,44,24,348,10,854,16,44,10,-9900,99,-9900,99,-9900,99,0.5,3,0.061,1,0.038,1,0.309,51,0.17,0
1/1/2010,17:00,78.2,232,289,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,172,24,689,27,31,24,172,10,689,16,31,10,-9900,99,-9900,99,-9900,99,0.5,51,0.061,1,0.038,1,0.309,51,0.17,0
1/1/2010,18:00,86.7,239.8,56,955,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,23,24,235,27,9,24,23,10,235,16,9,10,-9900,99,-9900,99,-9900,99,0.5,51,0.061,1,0.038,1,0.31,51,0.17,0
1/1/2010,19:00,99,-99,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,3,0.061,1,0.038,1,0.31,51,0.17,0
1/1/2010,20:00,99,-99,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,51,0.061,1,0.038,1,0.311,51,0.17,0
1/1/2010,21:00,99,-99,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,51,0.061,1,0.038,1,0.312,51,0.17,0
